player,role,amount,team,year,player_origin
Sayan Ghosh,Bowler,2000000,Delhi Daredevils,2018,Indian
Sayan Sekhar Mandal,All-Rounder,1000000,Kolkata Knight Riders,2014,Indian
Scott Boland,Bowler,5000000,Rising Pune Supergiant,2016,Overseas
Sean Abbott,Bowler,10000000,Royal Challengers Bangalore,2015,Overseas
Shadab Jakati,All-Rounder,2000000,Gujarat Lions,2016,Indian
Shahbaz Ahamad,Wicket Keeper,2000000,Royal Challengers Bangalore,2020,Indian
Shahbaz Nadeem,Bowler,32000000,Delhi Daredevils,2018,Indian
Shahrukh Khan,All-Rounder,52500000,Punjab Kings,2021,Indian
Shakib Al Hasan,All-Rounder,32000000,Kolkata Knight Riders,2021,Overseas
Shane Watson,All-Rounder,40000000,Chennai Super Kings,2018,Overseas
Sharad Lumba,Batsman,2000000,Mumbai Indians,2018,Indian
Shardul Thakur,Bowler,26000000,Chennai Super Kings,2018,Indian
Shashank Singh,All-Rounder,3000000,Rajasthan Royals,2019,Indian
Shaun Marsh,Batsman,22000000,Kings XI Punjab,2014,Overseas
Sheldon Cottrell,Bowler,85000000,Kings XI Punjab,2020,Overseas
Sheldon Jackson,Wicket Keeper,2000000,Kolkata Knight Riders,2021,Indian
Shelley Shaurya,Bowler,1000000,Gujarat Lions,2017,Indian
Sherfane Rutherford,All-Rounder,20000000,Delhi Capitals,2019,Overseas
Shikhar Dhawan,Batsman,52000000,Sunrisers Hyderabad,2018,Indian
Shimron Hetmyer,Batsman,77500000,Delhi Capitals,2020,Overseas
Shishir Bhavane,Batsman,1000000,Royal Challengers Bangalore,2015,Indian
Shivam Dube,All-Rounder,44000000,Rajasthan Royals,2021,Indian
Shivam Mavi,All-Rounder,30000000,Kolkata Knight Riders,2018,Indian
Shivam Sharma,Bowler,1000000,Kings XI Punjab,2014,Indian
Shivil Kaushik,Bowler,1000000,Gujarat Lions,2016,Indian
Shreevats Goswami,Wicket Keeper,10000000,Sunrisers Hyderabad,2018,Indian
Shreyas Gopal,All-Rounder,2000000,Rajasthan Royals,2018,Indian
Shreyas Iyer,Batsman,26000000,Delhi Daredevils,2015,Indian
Shrikant Mundhe,All-Rounder,2000000,Kolkata Knight Riders,2019,Indian
Shubam Agrawal,All-Rounder,1000000,Gujarat Lions,2017,Indian
Shubham Ranjane,All-Rounder,2000000,Rajasthan Royals,2019,Indian
Shubman Gill,Batsman,18000000,Kolkata Knight Riders,2018,Indian
Siddarth Kaul,Bowler,38000000,Sunrisers Hyderabad,2018,Indian
Siddhesh Dinesh Lad,Batsman,2000000,Mumbai Indians,2018,Indian
Srikkanth Anirudha,Batsman,2000000,Sunrisers Hyderabad,2014,Indian
Steven Smith,Batsman,22000000,Delhi Capitals,2021,Overseas
Stuart Binny,All-Rounder,5000000,Rajasthan Royals,2018,Indian
Subramaniam Badrinath,Batsman,3000000,Royal Challengers Bangalore,2015,Indian
Sudeep Tyagi,Bowler,7500000,Sunrisers Hyderabad,2013,Indian
Sumit Narwal,All-Rounder,1000000,Kolkata Knight Riders,2015,Indian
Suryakumar Yadav,Batsman,32000000,Mumbai Indians,2018,Indian
Sushant Marathe,Wicket Keeper,1000000,Mumbai Indians,2014,Indian
Suyash Prabhudesai,All-Rounder,2000000,Royal Challengers Bangalore,2021,Indian
Swapnil Singh,All-Rounder,1000000,Kings XI Punjab,2016,Indian
Syed Khaleel Ahmed,Bowler,30000000,Sunrisers Hyderabad,2018,Indian
Syed Mehdi Hasan,All-Rounder,2000000,Sunrisers Hyderabad,2018,Indian
T Natarajan,Bowler,4000000,Sunrisers Hyderabad,2018,Indian
Tajinder Dhillon,All-Rounder,2000000,Kings XI Punjab,2020,Indian
Tanmay Agarwal,Batsman,2000000,Sunrisers Hyderabad,2018,Indian
Tanmay Mishra,Batsman,1000000,Royal Challengers Bangalore,2014,Indian
Tejas Singh Baroka,Bowler,1000000,Gujarat Lions,2017,Indian
Thisara Perera,All-Rounder,10000000,Rising Pune Supergiant,2016,Overseas
Tim Southee,Bowler,10000000,Royal Challengers Bangalore,2018,Overseas
Tirumalasetti Suman,Batsman,1000000,Sunrisers Hyderabad,2016,Indian
Tom Banton,Batsman,10000000,Kolkata Knight Riders,2020,Overseas
Tom Curran,All-Rounder,52500000,Delhi Capitals,2021,Overseas
Travis Head,Batsman,5000000,Royal Challengers Bangalore,2016,Overseas
Trent Boult,Bowler,22000000,Delhi Daredevils,2018,Overseas
Tushar Deshpande,Bowler,2000000,Delhi Capitals,2020,Indian
Tymal Mills,Bowler,120000000,Royal Challengers Bangalore,2017,Overseas
Umang Sharma,Batsman,1000000,Gujarat Lions,2016,Indian
Umesh Yadav,Bowler,10000000,Delhi Capitals,2021,Indian
Unmukt Chand,Batsman,6500000,Rajasthan Royals,2014,Indian
Utkarsh Singh,All-Rounder,2000000,Punjab Kings,2021,Indian
Vaibhav Arora,Bowler,2000000,Kolkata Knight Riders,2021,Indian
Vaibhav Rawal,All-Rounder,1000000,Kolkata Knight Riders,2015,Indian
Varun Aaron,Bowler,24000000,Rajasthan Royals,2019,Indian
Varun Chakaravarthy,All-Rounder,40000000,Kolkata Knight Riders,2020,Indian
Veer Pratap Singh,Bowler,4000000,Kolkata Knight Riders,2014,Indian
Venkatesh Iyer,All-Rounder,2000000,Kolkata Knight Riders,2021,Indian
Venugopal Rao,Batsman,5500000,Sunrisers Hyderabad,2014,Indian
Vijay Shankar,All-Rounder,32000000,Delhi Daredevils,2018,Indian
Vijay Zol,Batsman,3000000,Royal Challengers Bangalore,2014,Indian
Vikas Tokas,Bowler,1000000,Royal Challengers Bangalore,2016,Indian
Vikramjeet Malik,Bowler,2000000,Royal Challengers Bangalore,2016,Indian
Virat Singh,Batsman,19000000,Sunrisers Hyderabad,2020,Indian
Virender Sehwag,Batsman,32000000,Kings XI Punjab,2014,Indian
Vishnu Vinod,Wicket Keeper,2000000,Delhi Capitals,2021,Indian
Washington Sundar,All-Rounder,32000000,Royal Challengers Bangalore,2018,Indian
Wayne Parnell,Bowler,10000000,Delhi Daredevils,2014,Overseas
Wriddhiman Saha,Wicket Keeper,12000000,Sunrisers Hyderabad,2019,Indian
Yashasvi Jaiswal,All-Rounder,24000000,Rajasthan Royals,2020,Indian
Yogesh Gowalkar,All-Rounder,1000000,Kings XI Punjab,2015,Indian
Yogesh Takawale,Wicket Keeper,1000000,Royal Challengers Bangalore,2014,Indian
Yudhvir Charak,All-Rounder,2000000,Mumbai Indians,2021,Indian
Yusuf Pathan,All-Rounder,19000000,Sunrisers Hyderabad,2018,Indian
Yuvraj Singh,All-Rounder,10000000,Mumbai Indians,2019,Indian
Yuzvendra Singh Chahal,Bowler,60000000,Royal Challengers Bangalore,2018,Indian
Zaheer Khan,Bowler,40000000,Delhi Daredevils,2015,Indian
Zahir Khan Pakteen,Bowler,6000000,Rajasthan Royals,2018,Indian
