player,matches,innings,number_of_overs,runs,wickets,number_of_four_fers,number_of_five_fers,max_number_of_wickets_per_match,number_of_balls_bowled,average,strike_rate
Shubham Agarwal,1,1,4.0,42,1,0,0,1,24,42,24
Siddarth Kaul,43,43,162.0,1400,52,1,0,4,972,26.923076923076923,18.692307692307693
Sreenath Aravind,19,19,59.0,491,16,0,0,4,354,30.6875,22.125
Stuart Binny,30,20,30.0,228,6,0,0,2,180,38,30
Sunil Narine,79,78,301.0,2193,69,1,0,5,1806,31.782608695652176,26.17391304347826
Suresh Raina,14,6,12.0,102,1,0,0,2,72,102,72
Swapnil Singh,4,4,7.0,61,1,0,0,1,42,61,42
T Natarajan,24,24,83.0,688,20,0,0,2,498,34.4,24.9
Tabraiz Shamsi,4,4,16.0,147,3,0,0,1,96,49,32
Thisara Perera,12,11,33.0,326,9,0,0,3,198,36.22222222222222,22
Tim Southee,28,28,103.0,899,21,0,0,3,618,42.80952380952381,29.428571428571427
Tom Curran,13,13,39.0,430,13,0,0,3,234,33.07692307692308,18
Travis Head,7,5,8.0,81,2,0,0,2,48,40.5,24
Trent Boult,55,55,207.0,1747,67,1,0,4,1242,26.074626865671643,18.53731343283582
Tushar Deshpande,5,5,17.0,192,3,0,0,2,102,64,34
Tymal Mills,5,5,18.0,153,5,0,0,2,108,30.6,21.6
Umesh Yadav,48,48,165.0,1433,55,1,0,4,990,26.054545454545455,18
Umran Malik,3,3,12.0,96,2,0,0,1,72,48,36
Varun Aaron,19,19,55.0,506,13,0,0,3,330,38.92307692307692,25.384615384615383
Varun Chakaravarthy,31,31,123.0,839,36,0,1,5,738,23.305555555555557,20.5
Venkatesh Iyer,10,4,8.0,69,3,0,0,2,48,23,16
Vijay Shankar,42,19,37.0,310,9,0,0,2,222,34.44444444444444,24.666666666666668
Vinay Kumar,6,6,16.0,160,7,0,0,4,96,22.857142857142858,13.714285714285714
Washington Sundar,42,41,125.0,867,27,0,0,3,750,32.111111111111114,27.77777777777778
Yusuf Pathan,45,9,12.0,88,3,0,0,3,72,29.333333333333332,24
Yuvraj Singh,12,2,2.0,22,1,0,0,4,12,22,12
Yuzvendra Chahal,84,84,301.0,2262,104,1,0,4,1806,21.75,17.365384615384617
Zaheer Khan,23,23,83.0,650,20,0,0,4,498,32.5,24.9
