player,number_of_not_outs,tot_runs,highest_score,tot_balls_faced,number_of_hundreds,number_of_fifties,number_of_fours,number_of_sixes,batting_average,batting_strike_rate,number_of_overs,runs,wickets,number_of_four_fers,number_of_five_fers,max_number_of_wickets_per_match,number_of_balls_bowled,bowling_average,bowling_strike_rate,total_matches,total_innings,role,amount,player_origin,player_id
anureet singh,1.0,18.0,15.0,16.0,0.0,0.0,2.0,0.0,4.5,112.5,4.0,42.0,1.0,0.0,0.0,3.0,24.0,42.0,24.0,4.0,3.0,Bowler,3000000.0,Indian,397c0ccf-e079-4fa8-a082-684f5226aa84
arshdeep singh,2.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.1,33.33333333333333,76.0,669.0,30.0,0.0,1.0,5.0,456.0,22.3,15.2,23.0,23.0,Bowler,2000000.0,Indian,5784d9b7-d6fb-4ca0-9825-bcbf02343329
ashish nehra,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.125,100.0,47.0,396.0,17.0,0.0,0.0,4.0,282.0,23.294117647058822,16.58823529411765,14.0,14.0,Bowler,55000000.0,Indian,967b1757-66cb-40c9-bec6-60596ce18ba7
ashish reddy,1.0,47.0,32.0,29.0,0.0,0.0,2.0,4.0,11.75,162.06896551724137,4.0,39.0,1.0,0.0,0.0,3.0,24.0,39.0,24.0,4.0,3.0,Bowler,2000000.0,Indian,8334f6ea-ce82-4bcc-bb8e-f63374b4da39
ashok dinda,0.0,7.0,7.0,7.0,0.0,0.0,1.0,0.0,2.333333333333333,100.0,40.0,350.0,12.0,0.0,0.0,4.0,240.0,29.166666666666668,20.0,12.0,12.0,Bowler,5000000.0,Indian,cb5e8458-56ee-42f8-83e7-11ac882a867c
ashton turner,1.0,3.0,3.0,10.0,0.0,0.0,0.0,0.0,0.75,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,All-Rounder,5000000.0,Indian,b3caf418-4d8e-4033-bbd7-38c7750cc4cc
avesh khan,2.0,9.0,5.0,6.0,0.0,0.0,2.0,0.0,0.5294117647058822,150.0,84.0,677.0,29.0,0.0,0.0,3.0,504.0,23.344827586206897,17.379310344827587,23.0,23.0,Bowler,7000000.0,Indian,944d568b-83a9-434b-ba68-399bac8ec518
basil thampi,7.0,32.0,13.0,35.0,0.0,0.0,1.0,1.0,1.6842105263157896,91.42857142857143,58.0,584.0,17.0,0.0,0.0,3.0,348.0,34.35294117647059,20.47058823529412,19.0,17.0,Bowler,9500000.0,Indian,7225ba89-c1e3-4169-b4d4-2448733c7437
ben cutting,6.0,230.0,39.0,135.0,0.0,0.0,15.0,18.0,11.5,170.37037037037035,42.0,398.0,9.0,0.0,0.0,2.0,252.0,44.22222222222222,28.0,20.0,16.0,All-Rounder,7500000.0,Overseas,1de7137b-3ddc-4654-9038-f322fa7e7474
ben laughlin,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.1428571428571428,25.0,21.0,211.0,9.0,0.0,0.0,2.0,126.0,23.444444444444443,14.0,7.0,7.0,Bowler,5000000.0,Overseas,64727352-f043-44d3-8b9f-7d7718a16cc3
bhuvneshwar kumar,13.0,106.0,21.0,98.0,0.0,0.0,11.0,1.0,1.452054794520548,108.16326530612244,279.0,2108.0,80.0,1.0,1.0,5.0,1674.0,26.35,20.925,73.0,73.0,Bowler,42500000.0,Overseas,601783c5-74eb-4273-9d8e-e91af2ed5680
billy stanlake,1.0,5.0,5.0,2.0,0.0,0.0,1.0,0.0,1.25,250.0,24.0,200.0,7.0,0.0,0.0,2.0,144.0,28.571428571428573,20.571428571428573,6.0,6.0,Batsman,5000000.0,Overseas,d5f71223-8172-42ee-bc85-2edfc0959c3d
bipul sharma,4.0,82.0,27.0,49.0,0.0,0.0,3.0,6.0,5.857142857142857,167.3469387755102,30.0,250.0,6.0,0.0,0.0,2.0,180.0,41.66666666666666,30.0,14.0,13.0,All-Rounder,2000000.0,Indian,411c7a93-102b-4a9d-87a8-6eac856704c6
brendon mccullum,0.0,800.0,72.0,567.0,0.0,3.0,83.0,40.0,24.24242424242424,141.09347442680777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,Batsman,36000000.0,Overseas,87d65ceb-2f7c-421e-a499-ce33c40c8a75
carlos brathwaite,1.0,181.0,43.0,111.0,0.0,0.0,10.0,16.0,11.3125,163.06306306306305,39.0,346.0,13.0,0.0,0.0,3.0,234.0,26.615384615384617,18.0,16.0,14.0,All-Rounder,50000000.0,Overseas,8d540626-c1b6-4c71-bae8-bec8bc1ef4aa
chetan sakariya,1.0,16.0,7.0,25.0,0.0,0.0,2.0,0.0,1.1428571428571428,64.0,52.0,426.0,14.0,0.0,0.0,3.0,312.0,30.428571428571427,22.285714285714285,14.0,14.0,Bowler,12000000.0,Indian,624a6efc-1e96-45e6-8871-b2a4e9db388e
chris jordan,2.0,64.0,30.0,57.0,0.0,0.0,3.0,3.0,2.7826086956521734,112.28070175438596,71.0,658.0,24.0,1.0,0.0,4.0,426.0,27.416666666666668,17.75,23.0,22.0,All-Rounder,30000000.0,Overseas,7cf0cc71-03eb-41a1-bd34-cafaf8a2cf60
chris lynn,3.0,1265.0,93.0,887.0,0.0,10.0,126.0,63.0,32.43589743589744,142.61555806087935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,Batsman,20000000.0,Overseas,579bee0c-d459-48c2-a0ca-7a3bd15a0bad
chris woakes,6.0,78.0,18.0,77.0,0.0,0.0,7.0,2.0,3.7142857142857135,101.2987012987013,73.0,658.0,30.0,0.0,0.0,3.0,438.0,21.933333333333334,14.6,21.0,21.0,All-Rounder,15000000.0,Overseas,5c485420-f2c1-44c2-acaf-a98c0c765350
colin ingram,2.0,184.0,47.0,154.0,0.0,0.0,20.0,5.0,15.333333333333332,119.48051948051948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,Batsman,64000000.0,Overseas,0da3646a-13b7-4fc6-a829-f9151e7355b9
colin munro,0.0,177.0,40.0,141.0,0.0,0.0,19.0,8.0,13.615384615384617,125.53191489361701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,All-Rounder,19000000.0,Overseas,2e09a7d3-b597-404e-bab5-26ae8c29305a
colin de grandhomme,5.0,303.0,40.0,225.0,0.0,0.0,18.0,18.0,12.12,134.66666666666669,31.0,264.0,6.0,0.0,0.0,3.0,186.0,44.0,31.0,25.0,21.0,All-Rounder,22000000.0,Overseas,ce99011f-afdd-460c-a177-acdd8415e802
